# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.360000e-02
# lRef        : 1.000000e+00
# Aref        : 7.850000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.0001        	5.458708e-01	2.729330e-01	2.729378e-01	-1.890540e-03	-1.012014e-03	-8.785262e-04	-6.674387e-05	-2.440050e-06	7.451484e-05	4.279150e-04	2.884724e-04	1.394427e-04
0.0002        	6.749674e-01	3.374838e-01	3.374835e-01	-2.375549e-03	-1.159826e-03	-1.215723e-03	2.794865e-05	1.516847e-07	-6.443333e-06	-1.385537e-03	-6.992118e-04	-6.863251e-04
0.0003        	6.743428e-01	3.371715e-01	3.371713e-01	-2.062508e-03	-1.065492e-03	-9.970156e-04	-3.423833e-05	7.831079e-08	2.516482e-05	-2.532034e-03	-1.240852e-03	-1.291182e-03
0.0004        	6.376639e-01	3.188294e-01	3.188345e-01	-1.302179e-03	-6.674874e-04	-6.346916e-04	-1.639792e-05	-2.581660e-06	-1.188754e-05	-3.008323e-03	-1.516049e-03	-1.492274e-03
0.0005        	6.030163e-01	3.015054e-01	3.015110e-01	-3.248681e-04	-1.565685e-04	-1.682996e-04	5.865522e-06	-2.813307e-06	-4.002739e-05	-2.797302e-03	-1.438679e-03	-1.358624e-03
0.0006        	5.791613e-01	2.895783e-01	2.895830e-01	8.035705e-04	4.324432e-04	3.711273e-04	3.065795e-05	-2.385679e-06	-6.064613e-05	-2.063453e-03	-1.092372e-03	-9.710802e-04
0.0007        	5.678445e-01	2.839200e-01	2.839245e-01	2.012188e-03	1.051809e-03	9.603793e-04	4.571492e-05	-2.210553e-06	-5.959992e-05	-1.027152e-03	-5.731759e-04	-4.539760e-04
0.0008        	5.623264e-01	2.811630e-01	2.811634e-01	3.382422e-03	1.754482e-03	1.627940e-03	6.327085e-05	-1.733551e-07	-5.216744e-05	1.858249e-04	4.074502e-05	1.450799e-04
0.0009        	5.604998e-01	2.802504e-01	2.802494e-01	5.039553e-03	2.594562e-03	2.444991e-03	7.478588e-05	5.024664e-07	-4.763751e-05	1.451394e-03	6.780593e-04	7.733344e-04
0.001         	5.613824e-01	2.806919e-01	2.806905e-01	6.766207e-03	3.468848e-03	3.297359e-03	8.574441e-05	6.951779e-07	-4.030121e-05	2.609862e-03	1.264630e-03	1.345232e-03
0.0011        	5.612192e-01	2.806102e-01	2.806090e-01	8.407627e-03	4.300316e-03	4.107311e-03	9.650241e-05	5.660768e-07	-3.251832e-05	3.492156e-03	1.713560e-03	1.778596e-03
0.0012        	5.574080e-01	2.787041e-01	2.787040e-01	1.002171e-02	5.120210e-03	4.901503e-03	1.093535e-04	4.381860e-08	-2.722291e-05	4.200010e-03	2.072782e-03	2.127228e-03
0.0013        	5.523412e-01	2.761702e-01	2.761710e-01	1.160996e-02	5.921901e-03	5.688055e-03	1.169229e-04	-4.037013e-07	-2.170121e-05	4.692471e-03	2.324534e-03	2.367937e-03
0.0014        	5.432612e-01	2.716299e-01	2.716313e-01	1.320202e-02	6.725908e-03	6.476111e-03	1.248983e-04	-7.090486e-07	-1.806162e-05	5.042380e-03	2.503128e-03	2.539251e-03
0.0015        	5.315700e-01	2.657842e-01	2.657858e-01	1.492672e-02	7.593673e-03	7.333049e-03	1.303118e-04	-7.972894e-07	-1.831262e-05	5.288520e-03	2.625947e-03	2.662573e-03
0.0016        	5.192035e-01	2.596012e-01	2.596023e-01	1.677161e-02	8.520420e-03	8.251192e-03	1.346140e-04	-5.397022e-07	-1.841302e-05	5.508710e-03	2.735942e-03	2.772768e-03
0.0017        	5.072373e-01	2.536182e-01	2.536191e-01	1.881787e-02	9.540506e-03	9.277367e-03	1.315698e-04	-4.482808e-07	-1.978574e-05	5.708677e-03	2.834553e-03	2.874124e-03
0.0018        	4.966458e-01	2.483229e-01	2.483229e-01	2.109795e-02	1.066076e-02	1.043719e-02	1.117828e-04	8.651467e-09	-1.588848e-05	5.932998e-03	2.950610e-03	2.982387e-03
0.0019        	4.880647e-01	2.440324e-01	2.440323e-01	2.368794e-02	1.194422e-02	1.174372e-02	1.002485e-04	7.188547e-08	-1.834114e-05	6.151870e-03	3.057594e-03	3.094276e-03
0.002         	4.820560e-01	2.410276e-01	2.410284e-01	2.658019e-02	1.340890e-02	1.317129e-02	1.188062e-04	-4.033225e-07	-2.379744e-05	6.426233e-03	3.189319e-03	3.236914e-03
0.0021        	4.787627e-01	2.393805e-01	2.393822e-01	2.979399e-02	1.505453e-02	1.473947e-02	1.575289e-04	-8.466317e-07	-3.332861e-05	6.703532e-03	3.318437e-03	3.385094e-03
0.0022        	4.776007e-01	2.387995e-01	2.388012e-01	3.341612e-02	1.691034e-02	1.650578e-02	2.022811e-04	-8.882879e-07	-4.048729e-05	7.072693e-03	3.495859e-03	3.576834e-03
0.0023        	4.778818e-01	2.389400e-01	2.389418e-01	3.759246e-02	1.904363e-02	1.854884e-02	2.473942e-04	-9.257051e-07	-4.896113e-05	7.524324e-03	3.713201e-03	3.811123e-03
0.0024        	4.788848e-01	2.394416e-01	2.394432e-01	4.242804e-02	2.150341e-02	2.092463e-02	2.893930e-04	-8.121826e-07	-5.362949e-05	8.106840e-03	3.999790e-03	4.107049e-03
0.0025        	4.802225e-01	2.401105e-01	2.401121e-01	4.805028e-02	2.435433e-02	2.369595e-02	3.291896e-04	-7.834477e-07	-6.015845e-05	8.800253e-03	4.339968e-03	4.460285e-03
0.0026        	4.816636e-01	2.408310e-01	2.408325e-01	5.453482e-02	2.764163e-02	2.689319e-02	3.742202e-04	-7.473822e-07	-6.593540e-05	9.650962e-03	4.759545e-03	4.891416e-03
0.0027        	4.832743e-01	2.416365e-01	2.416378e-01	6.203424e-02	3.143765e-02	3.059659e-02	4.205321e-04	-6.694366e-07	-7.692649e-05	1.063971e-02	5.242930e-03	5.396783e-03
0.0028        	4.850743e-01	2.425365e-01	2.425378e-01	7.062018e-02	3.578116e-02	3.483902e-02	4.710708e-04	-6.746893e-07	-8.685546e-05	1.183717e-02	5.831730e-03	6.005441e-03
0.0029        	4.873007e-01	2.436499e-01	2.436508e-01	8.038456e-02	4.070984e-02	3.967472e-02	5.175630e-04	-4.507727e-07	-9.944312e-05	1.321991e-02	6.510513e-03	6.709399e-03
0.003         	4.900365e-01	2.450177e-01	2.450188e-01	9.126605e-02	4.619131e-02	4.507473e-02	5.582907e-04	-5.468651e-07	-1.084346e-04	1.483184e-02	7.307485e-03	7.524354e-03
0.0031        	4.935094e-01	2.467541e-01	2.467554e-01	1.031349e-01	5.215065e-02	5.098427e-02	5.831897e-04	-6.416584e-07	-1.174047e-04	1.659133e-02	8.178261e-03	8.413071e-03
0.0032        	4.977290e-01	2.488631e-01	2.488659e-01	1.156564e-01	5.841716e-02	5.723920e-02	5.889790e-04	-1.396615e-06	-1.208714e-04	1.849773e-02	9.127992e-03	9.369734e-03
0.0033        	5.028137e-01	2.514046e-01	2.514092e-01	1.284184e-01	6.477432e-02	6.364404e-02	5.651385e-04	-2.292278e-06	-1.225414e-04	2.042625e-02	1.009058e-02	1.033567e-02
0.0034        	5.085811e-01	2.542868e-01	2.542943e-01	1.407232e-01	7.086583e-02	6.985733e-02	5.042544e-04	-3.726935e-06	-1.154929e-04	2.233741e-02	1.105321e-02	1.128420e-02
0.0035        	5.149329e-01	2.574611e-01	2.574718e-01	1.518405e-01	7.630934e-02	7.553114e-02	3.891022e-04	-5.336416e-06	-1.019494e-04	2.405561e-02	1.192586e-02	1.212976e-02
0.0036        	5.214393e-01	2.607150e-01	2.607243e-01	1.607958e-01	8.060336e-02	8.019243e-02	2.054696e-04	-4.636392e-06	-6.989293e-05	2.554231e-02	1.270126e-02	1.284105e-02
0.0037        	5.285727e-01	2.642818e-01	2.642910e-01	1.667123e-01	8.328606e-02	8.342627e-02	-7.010688e-05	-4.599649e-06	-2.472331e-05	2.659915e-02	1.327485e-02	1.332430e-02
0.0038        	5.344658e-01	2.672281e-01	2.672377e-01	1.682838e-01	8.371095e-02	8.457289e-02	-4.309745e-04	-4.826512e-06	3.708588e-05	2.709177e-02	1.358297e-02	1.350880e-02
0.0039        	5.387729e-01	2.693803e-01	2.693925e-01	1.644732e-01	8.139236e-02	8.308082e-02	-8.442336e-04	-6.101728e-06	1.056412e-04	2.675836e-02	1.348482e-02	1.327354e-02
0.004         	5.411957e-01	2.705882e-01	2.706075e-01	1.544525e-01	7.597294e-02	7.847956e-02	-1.253309e-03	-9.696458e-06	1.822382e-04	2.548010e-02	1.292229e-02	1.255781e-02
0.0041        	5.418886e-01	2.709300e-01	2.709585e-01	1.379673e-01	6.732781e-02	7.063951e-02	-1.655854e-03	-1.426110e-05	2.535218e-04	2.306132e-02	1.178418e-02	1.127714e-02
0.0042        	5.408554e-01	2.704090e-01	2.704463e-01	1.151182e-01	5.555319e-02	5.956501e-02	-2.005912e-03	-1.865984e-05	3.193214e-04	1.958533e-02	1.011199e-02	9.473344e-03
0.0043        	5.386843e-01	2.693209e-01	2.693635e-01	8.709240e-02	4.129624e-02	4.579617e-02	-2.249965e-03	-2.129595e-05	3.560234e-04	1.514013e-02	7.926087e-03	7.214040e-03
0.0044        	5.362179e-01	2.680859e-01	2.681320e-01	5.568992e-02	2.552355e-02	3.016637e-02	-2.321407e-03	-2.305882e-05	3.682449e-04	1.004091e-02	5.388698e-03	4.652208e-03
0.0045        	5.343715e-01	2.671598e-01	2.672117e-01	2.338411e-02	9.470027e-03	1.391408e-02	-2.222027e-03	-2.590975e-05	3.419475e-04	4.687691e-03	2.685793e-03	2.001898e-03
0.0046        	5.329424e-01	2.664435e-01	2.664989e-01	-7.038816e-03	-5.444348e-03	-1.594468e-03	-1.924940e-03	-2.773173e-05	2.824356e-04	-3.175215e-04	1.236748e-04	-4.411963e-04
0.0047        	5.314897e-01	2.657256e-01	2.657642e-01	-3.256933e-02	-1.773533e-02	-1.483400e-02	-1.450664e-03	-1.931692e-05	1.921476e-04	-4.483738e-03	-2.049721e-03	-2.434016e-03
0.0048        	5.297266e-01	2.648533e-01	2.648733e-01	-5.093762e-02	-2.629934e-02	-2.463828e-02	-8.305293e-04	-9.985355e-06	8.685926e-05	-7.393592e-03	-3.609937e-03	-3.783655e-03
0.0049        	5.281809e-01	2.640808e-01	2.641002e-01	-6.080073e-02	-3.054027e-02	-3.026046e-02	-1.399050e-04	-9.693936e-06	-2.995166e-05	-8.872578e-03	-4.466241e-03	-4.406337e-03
