# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.0001         4.854488e-05 3.805495e-08 -1.681278e-07 3.068150e-05 1.617936e-08 -1.635204e-07 1.786338e-05 2.187559e-08 -4.607378e-09
0.0002         6.002558e-05 -1.232173e-07 -2.112602e-07 4.680106e-05 -1.149337e-07 -1.928610e-07 1.322452e-05 -8.283554e-09 -1.839918e-08
0.0003         5.997004e-05 -2.251765e-07 -1.834211e-07 4.974749e-05 -2.159553e-07 -1.825742e-07 1.022255e-05 -9.221243e-09 -8.468472e-10
0.0004         5.670814e-05 -2.675334e-07 -1.158042e-07 4.826827e-05 -2.492465e-07 -1.124863e-07 8.439868e-06 -1.828698e-08 -3.317910e-09
0.0005         5.362689e-05 -2.487671e-07 -2.889087e-08 4.632485e-05 -2.236039e-07 -1.967380e-08 7.302048e-06 -2.516319e-08 -9.217072e-09
0.0006         5.150544e-05 -1.835051e-07 7.146239e-08 4.484189e-05 -1.593571e-07 8.327278e-08 6.663548e-06 -2.414798e-08 -1.181039e-08
0.0007         5.049903e-05 -9.134573e-08 1.789461e-07 4.403054e-05 -7.329577e-08 1.876956e-07 6.468485e-06 -1.804996e-08 -8.749483e-09
0.0008         5.000829e-05 1.652561e-08 3.008025e-07 4.358840e-05 2.479843e-08 3.041634e-07 6.419889e-06 -8.272817e-09 -3.360902e-09
0.0009         4.984585e-05 1.290740e-07 4.481729e-07 4.337101e-05 1.276039e-07 4.411240e-07 6.474841e-06 1.470123e-09 7.048853e-09
0.001          4.992434e-05 2.320978e-07 6.017261e-07 4.326254e-05 2.219491e-07 5.832323e-07 6.661800e-06 1.014877e-08 1.849381e-08
0.0011         4.990983e-05 3.105612e-07 7.476994e-07 4.298994e-05 2.948640e-07 7.197986e-07 6.919886e-06 1.569718e-08 2.790077e-08
0.0012         4.957090e-05 3.735114e-07 8.912418e-07 4.237730e-05 3.535001e-07 8.547316e-07 7.193601e-06 2.001135e-08 3.651011e-08
