# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.0001         -2.169962e-10 -5.935605e-09 6.626685e-09 -5.801910e-12 -4.842728e-12 -2.473754e-11 -2.111943e-10 -5.930762e-09 6.651423e-09
0.0002         1.348949e-11 2.485503e-09 -5.730125e-10 2.139602e-11 -6.265399e-11 1.027088e-11 -7.906532e-12 2.548157e-09 -5.832834e-10
0.0003         6.964263e-12 -3.044851e-09 2.237935e-09 2.580429e-11 -1.168029e-10 9.326234e-12 -1.884003e-11 -2.928048e-09 2.228609e-09
0.0004         -2.295898e-10 -1.458284e-09 -1.057172e-09 1.290577e-11 -1.420983e-10 -1.502933e-11 -2.424956e-10 -1.316186e-09 -1.042143e-09
0.0005         -2.501904e-10 5.216272e-10 -3.559679e-09 4.346987e-12 -1.356585e-10 -1.906815e-11 -2.545374e-10 6.572857e-10 -3.540611e-09
0.0006         -2.121610e-10 2.726445e-09 -5.393326e-09 -4.407824e-12 -1.136910e-10 -1.090201e-11 -2.077532e-10 2.840136e-09 -5.382423e-09
0.0007         -1.965869e-10 4.065477e-09 -5.300285e-09 -1.232586e-11 -8.730093e-11 7.578776e-12 -1.842610e-10 4.152778e-09 -5.307864e-09
0.0008         -1.541666e-11 5.626745e-09 -4.639307e-09 -1.649340e-11 -5.724311e-11 1.713101e-11 1.076744e-12 5.683988e-09 -4.656438e-09
0.0009         4.468488e-11 6.650789e-09 -4.236455e-09 -1.964082e-11 -3.131711e-11 1.575019e-11 6.432569e-11 6.682106e-09 -4.252206e-09
0.001          6.182292e-11 7.625343e-09 -3.584031e-09 -2.263822e-11 -7.853364e-12 6.710348e-12 8.446114e-11 7.633197e-09 -3.590741e-09
0.0011         5.034182e-11 8.582064e-09 -2.891889e-09 -2.393152e-11 1.666847e-11 -8.221975e-12 7.427334e-11 8.565395e-09 -2.883667e-09
0.0012         3.896836e-12 9.724927e-09 -2.420963e-09 -2.451181e-11 4.205956e-11 -2.441772e-11 2.840865e-11 9.682867e-09 -2.396546e-09
0.0013         -3.590159e-11 1.039808e-08 -1.929912e-09 -2.410876e-11 6.698574e-11 -4.003817e-11 -1.179283e-11 1.033109e-08 -1.889873e-09
0.0014         -6.305646e-11 1.110734e-08 -1.606239e-09 -2.313928e-11 9.230909e-11 -5.438913e-11 -3.991718e-11 1.101503e-08 -1.551850e-09
0.0015         -7.090381e-11 1.158877e-08 -1.628561e-09 -2.004985e-11 1.198493e-10 -6.860866e-11 -5.085395e-11 1.146892e-08 -1.559952e-09
0.0016         -4.799630e-11 1.197137e-08 -1.637490e-09 -1.613245e-11 1.534467e-10 -8.285300e-11 -3.186385e-11 1.181792e-08 -1.554637e-09
0.0017         -3.986610e-11 1.170065e-08 -1.759567e-09 -1.211617e-11 1.893219e-10 -9.543239e-11 -2.774992e-11 1.151132e-08 -1.664135e-09
0.0018         7.693843e-13 9.940961e-09 -1.412980e-09 -8.481635e-12 2.270315e-10 -1.030382e-10 9.251019e-12 9.713930e-09 -1.309942e-09
0.0019         6.392852e-12 8.915203e-09 -1.631097e-09 -6.063407e-12 2.619746e-10 -1.060183e-10 1.245626e-11 8.653229e-09 -1.525079e-09
0.002          -3.586791e-11 1.056557e-08 -2.116332e-09 -3.454072e-12 2.932876e-10 -1.064097e-10 -3.241383e-11 1.027228e-08 -2.009922e-09
