# Wall shear stress
# Time          	patch           	min             	max             
0.0001          	sphere1	(-6.76028934e-06 -3.24839751e-06 -3.23772151e-06)	(7.35092136e-07 3.22952754e-06 3.22930280e-06)
0.0002          	sphere1	(-5.96670110e-06 -3.12523519e-06 -3.13051124e-06)	(2.40556235e-06 3.11560579e-06 3.12451917e-06)
0.0003          	sphere1	(-5.71967652e-06 -3.29625008e-06 -3.28622156e-06)	(2.95689060e-06 3.29633673e-06 3.29965768e-06)
0.0004          	sphere1	(-5.63110421e-06 -3.42121744e-06 -3.41605554e-06)	(3.05477937e-06 3.42752790e-06 3.42836575e-06)
0.0005          	sphere1	(-5.56913676e-06 -3.47054448e-06 -3.46891308e-06)	(3.03167254e-06 3.47662797e-06 3.47574597e-06)
0.0006          	sphere1	(-5.50976610e-06 -3.48627983e-06 -3.48730224e-06)	(2.70182968e-06 3.49045748e-06 3.49109827e-06)
0.0007          	sphere1	(-5.43420404e-06 -3.48358159e-06 -3.48827130e-06)	(2.41818461e-06 3.48792995e-06 3.48952238e-06)
0.0008          	sphere1	(-5.35586073e-06 -3.47699257e-06 -3.48036331e-06)	(2.15557140e-06 3.47874558e-06 3.48047736e-06)
0.0009          	sphere1	(-5.31527796e-06 -3.46471828e-06 -3.46736307e-06)	(2.10845376e-06 3.46601132e-06 3.46627754e-06)
0.001           	sphere1	(-5.30256502e-06 -3.45307013e-06 -3.45566184e-06)	(2.07379758e-06 3.45184717e-06 3.45162858e-06)
0.0011          	sphere1	(-5.29008302e-06 -3.43911072e-06 -3.44309685e-06)	(1.98240533e-06 3.43659201e-06 3.43540619e-06)
0.0012          	sphere1	(-5.27722381e-06 -3.42776935e-06 -3.43216559e-06)	(1.89094415e-06 3.42324453e-06 3.42217909e-06)
0.0013          	sphere1	(-5.26677014e-06 -3.41561880e-06 -3.42049366e-06)	(1.78782277e-06 3.40970473e-06 3.40825136e-06)
0.0014          	sphere1	(-5.25782107e-06 -3.40693960e-06 -3.41116046e-06)	(1.69920513e-06 3.39869981e-06 3.39765775e-06)
0.0015          	sphere1	(-5.25156679e-06 -3.39727173e-06 -3.40153661e-06)	(1.59325078e-06 3.38733260e-06 3.38689252e-06)
0.0016          	sphere1	(-5.24633162e-06 -3.39005166e-06 -3.39410306e-06)	(1.46931183e-06 3.37887866e-06 3.37895355e-06)
0.0017          	sphere1	(-5.24386348e-06 -3.38206002e-06 -3.38726059e-06)	(1.35088533e-06 3.37013208e-06 3.36984784e-06)
0.0018          	sphere1	(-5.24117899e-06 -3.37659140e-06 -3.38198552e-06)	(1.25460565e-06 3.36429144e-06 3.36379733e-06)
