# y+ ()         
# Time          	patch           	min             	max             	average         
0.0001          	wall1	1.20663250e+01	1.69746376e+01	1.52668265e+01
0.0001          	sphere1	1.43353479e+00	6.22973159e+00	5.05581318e+00
0.0002          	wall1	1.05290444e+01	1.67496001e+01	1.45484656e+01
0.0002          	sphere1	1.89467753e+00	5.98275077e+00	4.69120979e+00
0.0003          	wall1	9.70750383e+00	1.68125282e+01	1.39924246e+01
0.0003          	sphere1	1.35585042e+00	5.93904745e+00	4.54358163e+00
0.0004          	wall1	8.89039163e+00	1.68490056e+01	1.35793128e+01
0.0004          	sphere1	1.45880410e+00	5.91682499e+00	4.48267710e+00
0.0005          	wall1	8.28987659e+00	1.68591988e+01	1.32739519e+01
0.0005          	sphere1	2.06308119e+00	5.90093540e+00	4.45631651e+00
0.0006          	wall1	7.83362660e+00	1.68642486e+01	1.30490914e+01
0.0006          	sphere1	2.18078734e+00	5.89850733e+00	4.39608785e+00
0.0007          	wall1	7.49300495e+00	1.68673335e+01	1.28836081e+01
0.0007          	sphere1	1.04029836e+00	5.89714100e+00	4.26068921e+00
0.0008          	wall1	7.24418995e+00	1.68687799e+01	1.27622287e+01
0.0008          	sphere1	9.45557680e-01	5.89188317e+00	4.17277642e+00
0.0009          	wall1	7.06254241e+00	1.68692053e+01	1.26736741e+01
0.0009          	sphere1	1.22795764e+00	5.88311362e+00	4.09234714e+00
0.001           	wall1	6.92628308e+00	1.68692276e+01	1.26100301e+01
0.001           	sphere1	1.22788663e+00	5.87280110e+00	4.00467204e+00
0.0011          	wall1	6.82827209e+00	1.68690427e+01	1.25652004e+01
0.0011          	sphere1	1.23763505e+00	5.86246714e+00	3.91587554e+00
0.0012          	wall1	6.71690297e+00	1.68688739e+01	1.25347801e+01
0.0012          	sphere1	8.04480444e-01	5.85328056e+00	3.83737137e+00
0.0013          	wall1	6.62403996e+00	1.68686940e+01	1.25160522e+01
0.0013          	sphere1	1.12402236e+00	5.84555939e+00	3.83194392e+00
0.0014          	wall1	6.55060867e+00	1.68685976e+01	1.25048754e+01
0.0014          	sphere1	1.14557593e+00	5.83905713e+00	3.82244680e+00
0.0015          	wall1	6.49631810e+00	1.68685126e+01	1.24991919e+01
0.0015          	sphere1	9.36674916e-01	5.83366878e+00	3.79008045e+00
0.0016          	wall1	6.45810273e+00	1.68685051e+01	1.24972913e+01
0.0016          	sphere1	7.37469328e-01	5.82926838e+00	3.78524741e+00
0.0017          	wall1	6.43293995e+00	1.68684974e+01	1.24978917e+01
0.0017          	sphere1	6.48977656e-01	5.82605846e+00	3.77076881e+00
0.0018          	wall1	6.41824815e+00	1.68685484e+01	1.24998872e+01
0.0018          	sphere1	5.93956037e-01	5.82329392e+00	3.74297827e+00
0.0019          	wall1	6.40126267e+00	1.68685816e+01	1.25026118e+01
0.0019          	sphere1	6.81264539e-01	5.82083368e+00	3.71808159e+00
0.002           	wall1	6.39168006e+00	1.68686586e+01	1.25056096e+01
0.002           	sphere1	8.75523755e-01	5.81816074e+00	3.70519853e+00
0.0021          	wall1	6.38822398e+00	1.68687062e+01	1.25085833e+01
0.0021          	sphere1	8.25704396e-01	5.81557855e+00	3.70387097e+00
0.0022          	wall1	6.38937387e+00	1.68687893e+01	1.25113802e+01
0.0022          	sphere1	7.63939607e-01	5.81299775e+00	3.70719273e+00
0.0023          	wall1	6.39215714e+00	1.68688368e+01	1.25139151e+01
0.0023          	sphere1	7.11151250e-01	5.81102572e+00	3.70671471e+00
0.0024          	wall1	6.39592755e+00	1.68689157e+01	1.25161610e+01
0.0024          	sphere1	6.72613396e-01	5.80959034e+00	3.70382266e+00
0.0025          	wall1	6.39901821e+00	1.68689564e+01	1.25181503e+01
0.0025          	sphere1	6.56807911e-01	5.80904119e+00	3.70161325e+00
0.0026          	wall1	6.40207618e+00	1.68690271e+01	1.25198971e+01
0.0026          	sphere1	6.70566875e-01	5.80905466e+00	3.70073467e+00
0.0027          	wall1	6.40380832e+00	1.68690589e+01	1.25214364e+01
0.0027          	sphere1	6.47823737e-01	5.81003171e+00	3.70131605e+00
0.0028          	wall1	6.40581356e+00	1.68691206e+01	1.25227932e+01
0.0028          	sphere1	5.05563038e-01	5.81161724e+00	3.70265071e+00
0.0029          	wall1	6.40687712e+00	1.68691436e+01	1.25239931e+01
0.0029          	sphere1	4.07706156e-01	5.81416977e+00	3.70497218e+00
0.003           	wall1	6.40854006e+00	1.68691970e+01	1.25250612e+01
0.003           	sphere1	5.60667279e-01	5.81728869e+00	3.70888111e+00
0.0031          	wall1	6.40939701e+00	1.68692123e+01	1.25260187e+01
0.0031          	sphere1	7.55778880e-01	5.82143158e+00	3.71280049e+00
0.0032          	wall1	6.41095993e+00	1.68692584e+01	1.25268810e+01
0.0032          	sphere1	7.30632531e-01	5.82623427e+00	3.71568609e+00
0.0033          	wall1	6.41167395e+00	1.68692671e+01	1.25276598e+01
0.0033          	sphere1	4.97552222e-01	5.83178233e+00	3.71753168e+00
0.0034          	wall1	6.41313978e+00	1.68693073e+01	1.25283692e+01
0.0034          	sphere1	6.95107333e-01	5.83742300e+00	3.72050881e+00
0.0035          	wall1	6.41381995e+00	1.68693105e+01	1.25290195e+01
0.0035          	sphere1	9.38636977e-01	5.84325509e+00	3.72362335e+00
0.0036          	wall1	6.41525746e+00	1.68693459e+01	1.25296196e+01
0.0036          	sphere1	1.10472025e+00	5.84849524e+00	3.72466333e+00
0.0037          	wall1	6.41588587e+00	1.68693448e+01	1.25301932e+01
0.0037          	sphere1	1.01816273e+00	5.85333647e+00	3.72355206e+00
0.0038          	wall1	6.41731658e+00	1.68693761e+01	1.25307215e+01
0.0038          	sphere1	8.25307414e-01	5.85710269e+00	3.72351041e+00
0.0039          	wall1	6.41794982e+00	1.68693714e+01	1.25312123e+01
0.0039          	sphere1	6.22471393e-01	5.85946370e+00	3.72745560e+00
0.004           	wall1	6.41931194e+00	1.68693996e+01	1.25316759e+01
0.004           	sphere1	9.59701657e-01	5.85965903e+00	3.73621765e+00
0.0041          	wall1	6.41984863e+00	1.68693920e+01	1.25321135e+01
0.0041          	sphere1	9.91334418e-01	5.85774203e+00	3.74287637e+00
0.0042          	wall1	6.42102887e+00	1.68694175e+01	1.25325241e+01
0.0042          	sphere1	8.13621000e-01	5.85340694e+00	3.74241319e+00
0.0043          	wall1	6.42130844e+00	1.68694076e+01	1.25329061e+01
0.0043          	sphere1	5.59288214e-01	5.84732100e+00	3.73594115e+00
0.0044          	wall1	6.42222908e+00	1.68694312e+01	1.25332574e+01
0.0044          	sphere1	6.30710465e-01	5.83964988e+00	3.73125522e+00
0.0045          	wall1	6.42223821e+00	1.68694196e+01	1.25335806e+01
0.0045          	sphere1	1.05307341e+00	5.83142715e+00	3.73170769e+00
0.0046          	wall1	6.42292639e+00	1.68694417e+01	1.25338786e+01
0.0046          	sphere1	1.15055631e+00	5.82318764e+00	3.73832210e+00
0.0047          	wall1	6.42283117e+00	1.68694289e+01	1.25341549e+01
0.0047          	sphere1	1.08213033e+00	5.82795747e+00	3.74946715e+00
0.0048          	wall1	6.42346964e+00	1.68694500e+01	1.25344073e+01
0.0048          	sphere1	1.09320679e+00	5.83816749e+00	3.76193656e+00
0.0049          	wall1	6.42338509e+00	1.68694363e+01	1.25346391e+01
0.0049          	sphere1	1.18751695e+00	5.84486982e+00	3.77182025e+00
0.005           	wall1	6.42401494e+00	1.68694565e+01	1.25348247e+01
0.005           	sphere1	1.25578825e+00	5.84665685e+00	3.77345416e+00
0.0051          	wall1	6.42384148e+00	1.68694421e+01	1.25349632e+01
0.0051          	sphere1	1.32998290e+00	5.84445040e+00	3.76986753e+00
0.0052          	wall1	6.42445320e+00	1.68694618e+01	1.25350626e+01
0.0052          	sphere1	1.35660457e+00	5.83832010e+00	3.76132495e+00
0.0053          	wall1	6.42429275e+00	1.68694468e+01	1.25351034e+01
0.0053          	sphere1	1.30870497e+00	5.83024255e+00	3.74944663e+00
0.0054          	wall1	6.42493560e+00	1.68694661e+01	1.25350915e+01
0.0054          	sphere1	1.21470638e+00	5.82178308e+00	3.73814645e+00
0.0055          	wall1	6.42489018e+00	1.68694508e+01	1.25350348e+01
0.0055          	sphere1	1.15158894e+00	5.82522885e+00	3.73004693e+00
0.0056          	wall1	6.42561140e+00	1.68694696e+01	1.25349425e+01
0.0056          	sphere1	1.11209710e+00	5.82686775e+00	3.72505015e+00
0.0057          	wall1	6.42549296e+00	1.68694538e+01	1.25348271e+01
0.0057          	sphere1	1.12779821e+00	5.82686438e+00	3.72139096e+00
0.0058          	wall1	6.42605676e+00	1.68694722e+01	1.25346975e+01
0.0058          	sphere1	1.14297284e+00	5.82519948e+00	3.71805120e+00
0.0059          	wall1	6.42562624e+00	1.68694559e+01	1.25345565e+01
0.0059          	sphere1	1.16586692e+00	5.82260714e+00	3.71510533e+00
0.006           	wall1	6.42576870e+00	1.68694738e+01	1.25344283e+01
0.006           	sphere1	1.20131326e+00	5.81934822e+00	3.71194258e+00
0.0061          	wall1	6.42496854e+00	1.68694572e+01	1.25343157e+01
0.0061          	sphere1	1.18008314e+00	5.81635313e+00	3.70824358e+00
0.0062          	wall1	6.42475096e+00	1.68694747e+01	1.25342243e+01
0.0062          	sphere1	1.14492966e+00	5.81384452e+00	3.70377246e+00
0.0063          	wall1	6.42372281e+00	1.68694577e+01	1.25341557e+01
0.0063          	sphere1	1.10052666e+00	5.81250350e+00	3.69954068e+00
0.0064          	wall1	6.42345973e+00	1.68694750e+01	1.25341124e+01
0.0064          	sphere1	1.03204579e+00	5.81202226e+00	3.69658129e+00
0.0065          	wall1	6.42247484e+00	1.68694579e+01	1.25340898e+01
0.0065          	sphere1	9.56324387e-01	5.81256416e+00	3.69571213e+00
0.0066          	wall1	6.42241632e+00	1.68694751e+01	1.25340845e+01
0.0066          	sphere1	8.92049065e-01	5.81353244e+00	3.69684341e+00
0.0067          	wall1	6.42170315e+00	1.68694581e+01	1.25340877e+01
0.0067          	sphere1	8.39562299e-01	5.81511661e+00	3.69978121e+00
0.0068          	wall1	6.42192734e+00	1.68694755e+01	1.25341037e+01
0.0068          	sphere1	8.15161448e-01	5.81679084e+00	3.70352187e+00
0.0069          	wall1	6.42156397e+00	1.68694586e+01	1.25341263e+01
0.0069          	sphere1	8.15439038e-01	5.81880102e+00	3.70706454e+00
0.007           	wall1	6.42204073e+00	1.68694762e+01	1.25341520e+01
0.007           	sphere1	8.28885137e-01	5.82076837e+00	3.70952121e+00
0.0071          	wall1	6.42183766e+00	1.68694594e+01	1.25341787e+01
0.0071          	sphere1	7.89441163e-01	5.82293357e+00	3.71055286e+00
0.0072          	wall1	6.42238952e+00	1.68694769e+01	1.25342044e+01
0.0072          	sphere1	7.41413759e-01	5.82492421e+00	3.70978915e+00
0.0073          	wall1	6.42213119e+00	1.68694599e+01	1.25342293e+01
0.0073          	sphere1	7.01203030e-01	5.82703104e+00	3.70762042e+00
0.0074          	wall1	6.42264138e+00	1.68694773e+01	1.25342535e+01
0.0074          	sphere1	6.71042459e-01	5.82894473e+00	3.70438835e+00
0.0075          	wall1	6.42233100e+00	1.68694602e+01	1.25342770e+01
0.0075          	sphere1	6.56648833e-01	5.83097562e+00	3.70085048e+00
0.0076          	wall1	6.42275767e+00	1.68694774e+01	1.25343003e+01
0.0076          	sphere1	6.62966155e-01	5.83280190e+00	3.69727458e+00
0.0077          	wall1	6.42244409e+00	1.68694603e+01	1.25343293e+01
0.0077          	sphere1	6.94858170e-01	5.83466695e+00	3.69421116e+00
0.0078          	wall1	6.42286661e+00	1.68694775e+01	1.25343634e+01
0.0078          	sphere1	7.50924579e-01	5.83612696e+00	3.69179691e+00
0.0079          	wall1	6.42256522e+00	1.68694603e+01	1.25344035e+01
0.0079          	sphere1	8.30113161e-01	5.83743482e+00	3.69047941e+00
0.008           	wall1	6.42303076e+00	1.68694775e+01	1.25344484e+01
0.008           	sphere1	9.22805302e-01	5.83821478e+00	3.68986463e+00
0.0081          	wall1	6.42272635e+00	1.68694602e+01	1.25344980e+01
0.0081          	sphere1	1.02292686e+00	5.83873751e+00	3.68988541e+00
0.0082          	wall1	6.42323995e+00	1.68694773e+01	1.25345502e+01
0.0082          	sphere1	1.06204638e+00	5.83862495e+00	3.69014561e+00
0.0083          	wall1	6.42303390e+00	1.68694601e+01	1.25346189e+01
0.0083          	sphere1	1.09494594e+00	5.83783559e+00	3.68995118e+00
0.0084          	wall1	6.42349176e+00	1.68694772e+01	1.25346669e+01
0.0084          	sphere1	1.13182904e+00	5.83715458e+00	3.69046971e+00
0.0085          	wall1	6.42323021e+00	1.68694602e+01	1.25347198e+01
0.0085          	sphere1	1.16847894e+00	5.83594956e+00	3.68918279e+00
0.0086          	wall1	6.42363582e+00	1.68694774e+01	1.25347566e+01
0.0086          	sphere1	1.20120969e+00	5.83496123e+00	3.68954745e+00
0.0087          	wall1	6.42332397e+00	1.68694604e+01	1.25347949e+01
0.0087          	sphere1	1.22725163e+00	5.83382672e+00	3.68914423e+00
0.0088          	wall1	6.42372467e+00	1.68694776e+01	1.25348192e+01
0.0088          	sphere1	1.24096398e+00	5.83294291e+00	3.69013188e+00
0.0089          	wall1	6.42334312e+00	1.68694605e+01	1.25348391e+01
0.0089          	sphere1	1.24617797e+00	5.83229052e+00	3.69106471e+00
0.009           	wall1	6.42375816e+00	1.68694777e+01	1.25348508e+01
0.009           	sphere1	1.24695886e+00	5.83157733e+00	3.69259540e+00
0.0091          	wall1	6.42337779e+00	1.68694605e+01	1.25348521e+01
0.0091          	sphere1	1.24354748e+00	5.83112804e+00	3.69524035e+00
0.0092          	wall1	6.42375403e+00	1.68694778e+01	1.25348439e+01
0.0092          	sphere1	1.23580582e+00	5.83058072e+00	3.69845346e+00
0.0093          	wall1	6.42339111e+00	1.68694607e+01	1.25348279e+01
0.0093          	sphere1	1.22835176e+00	5.83011683e+00	3.70212132e+00
0.0094          	wall1	6.42375393e+00	1.68694779e+01	1.25348009e+01
0.0094          	sphere1	1.22195771e+00	5.82933181e+00	3.70553814e+00
0.0095          	wall1	6.42337131e+00	1.68694608e+01	1.25347641e+01
0.0095          	sphere1	1.21867211e+00	5.82848360e+00	3.70860763e+00
0.0096          	wall1	6.42372175e+00	1.68694780e+01	1.25347180e+01
0.0096          	sphere1	1.21616207e+00	5.82715720e+00	3.71086373e+00
0.0097          	wall1	6.42324912e+00	1.68694609e+01	1.25346614e+01
0.0097          	sphere1	1.21521731e+00	5.82566705e+00	3.71231691e+00
0.0098          	wall1	6.42354609e+00	1.68694781e+01	1.25345999e+01
0.0098          	sphere1	1.21345760e+00	5.82368839e+00	3.71267641e+00
0.0099          	wall1	6.42303496e+00	1.68694609e+01	1.25345377e+01
0.0099          	sphere1	1.21184616e+00	5.82164182e+00	3.71228634e+00
0.01            	wall1	6.42321725e+00	1.68694781e+01	1.25344695e+01
0.01            	sphere1	1.20733735e+00	5.81915213e+00	3.71101779e+00
0.0101          	wall1	6.42267230e+00	1.68694609e+01	1.25344140e+01
0.0101          	sphere1	1.20324514e+00	5.81703185e+00	3.70892429e+00
0.0102          	wall1	6.42287070e+00	1.68694781e+01	1.25343699e+01
0.0102          	sphere1	1.19554209e+00	5.81495778e+00	3.70782445e+00
0.0103          	wall1	6.42234574e+00	1.68694609e+01	1.25343354e+01
0.0103          	sphere1	1.18397981e+00	5.81324954e+00	3.70769236e+00
0.0104          	wall1	6.42258267e+00	1.68694780e+01	1.25343081e+01
0.0104          	sphere1	1.16716035e+00	5.81158305e+00	3.70791651e+00
